italian,english,io,io_english,tu,tu_english,lui/lei,lui/lei_english,noi,noi_english,voi,voi_english,loro,loro_english
farcire,to stuff,ho farcito,I have stuffed,hai farcito,you have stuffed,ha farcito,he/she has stuffed,abbiamo farcito,we have stuffed,avete farcito,you all have stuffed,hanno farcito,they have stuffed
scendere,to descend,sono sceso/a,I went down,sei sceso/a,you went down,è sceso/a,he/she went down,siamo scesi/e,we went down,siete scesi/e,you all went down,sono scesi/e,they went down
comprare,to buy,ho comprato,I have bought,hai comprato,you have bought,ha comprato,he/she has bought,abbiamo comprato,we have bought,avete comprato,you all have bought,hanno comprato,they have bought
rafforzare,to strengthen,ho rafforzato,I have strengthened,hai rafforzato,you have strengthened,ha rafforzato,he/she has strengthened,abbiamo rafforzato,we have strengthened,avete rafforzato,you all have strengthened,hanno rafforzato,they have strengthened
ridere,to laugh,ho riso,I have laughed,hai riso,you have laughed,ha riso,he/she has laughed,abbiamo riso,we have laughed,avete riso,you all have laughed,hanno riso,they have laughed
meritare,to deserve,ho meritato,I have deserved,hai meritato,you have deserved,ha meritato,he/she has deserved,abbiamo meritato,we have deserved,avete meritato,you all have deserved,hanno meritato,they have deserved
ringraziare,to thank,ho ringraziato,I have thanked,hai ringraziato,you have thanked,ha ringraziato,he/she has thanked,abbiamo ringraziato,we have thanked,avete ringraziato,you all have thanked,hanno ringraziato,they have thanked
chiarire,to clarify,ho chiarito,I have clarified,hai chiarito,you have clarified,ha chiarito,he/she has clarified,abbiamo chiarito,we have clarified,avete chiarito,you all have clarified,hanno chiarito,they have clarified
avvertire,to warn,ho avvertito,I have warned,hai avvertito,you have warned,ha avvertito,he/she has warned,abbiamo avvertito,we have warned,avete avvertito,you all have warned,hanno avvertito,they have warned
giungere,to arrive,sono giunto/a,I arrived,sei giunto/a,you arrived,è giunto/a,he/she arrived,siamo giunti/e,we arrived,siete giunti/e,you all arrived,sono giunti/e,they arrived
commentare,to comment,ho commentato,I have commented,hai commentato,you have commented,ha commentato,he/she has commented,abbiamo commentato,we have commented,avete commentato,you all have commented,hanno commentato,they have commented
rientrare,to re-enter,sono rientrato/a,I returned,sei rientrato/a,you returned,è rientrato/a,he/she returned,siamo rientrati/e,we returned,siete rientrati/e,you all returned,sono rientrati/e,they returned
bere,to drink,ho bevuto,I have drunk,hai bevuto,you have drunk,ha bevuto,he/she has drunk,abbiamo bevuto,we have drunk,avete bevuto,you all have drunk,hanno bevuto,they have drunk
girare,to turn,ho girato,I have turned,hai girato,you have turned,ha girato,he/she has turned,abbiamo girato,we have turned,avete girato,you all have turned,hanno girato,they have turned
prestare,to lend,ho prestato,I have lent,hai prestato,you have lent,ha prestato,he/she has lent,abbiamo prestato,we have lent,avete prestato,you all have lent,hanno prestato,they have lent
rinunciare,to renounce,ho rinunciato,I gave up,hai rinunciato,you gave up,ha rinunciato,he/she gave up,abbiamo rinunciato,we gave up,avete rinunciato,you all gave up,hanno rinunciato,they gave up
esporre,to expose,ho esposto,I exhibited,hai esposto,you exhibited,ha esposto,he/she exhibited,abbiamo esposto,we exhibited,avete esposto,you all exhibited,hanno esposto,they exhibited
pervenire,to reach,sono pervenuto/a,I reached,sei pervenuto/a,you reached,è pervenuto/a,he/she reached,siamo pervenuti/e,we reached,siete pervenuti/e,you all reached,sono pervenuti/e,they reached
predisporre,to prepare,ho predisposto,I prepared,hai predisposto,you prepared,ha predisposto,he/she prepared,abbiamo predisposto,we prepared,avete predisposto,you all prepared,hanno predisposto,they prepared
tutelare,to protect,ho tutelato,I protected,hai tutelato,you protected,ha tutelato,he/she protected,abbiamo tutelato,we protected,avete tutelato,you all protected,hanno tutelato,they protected
trasformare,to transform,ho trasformato,I transformed,hai trasformato,you transformed,ha trasformato,he/she transformed,abbiamo trasformato,we transformed,avete trasformato,you all transformed,hanno trasformato,they transformed
assistere,to assist,ho assistito,I assisted,hai assistito,you assisted,ha assistito,he/she assisted,abbiamo assistito,we assisted,avete assistito,you all assisted,hanno assistito,they assisted
limitare,to limit,ho limitato,I limited,hai limitato,you limited,ha limitato,he/she limited,abbiamo limitato,we limited,avete limitato,you all limited,hanno limitato,they limited
riprendere,to resume,ho ripreso,I resumed,hai ripreso,you resumed,ha ripreso,he/she resumed,abbiamo ripreso,we resumed,avete ripreso,you all resumed,hanno ripreso,they resumed
mandare,to send,ho mandato,I sent,hai mandato,you sent,ha mandato,he/she sent,abbiamo mandato,we sent,avete mandato,you all sent,hanno mandato,they sent
dotare,to endow,ho dotato,I endowed,hai dotato,you endowed,ha dotato,he/she endowed,abbiamo dotato,we endowed,avete dotato,you all endowed,hanno dotato,they endowed
prevenire,to prevent,ho prevenuto,I prevented,hai prevenuto,you prevented,ha prevenuto,he/she prevented,abbiamo prevenuto,we prevented,avete prevenuto,you all prevented,hanno prevenuto,they prevented
tentare,to attempt,ho tentato,I attempted,hai tentato,you attempted,ha tentato,he/she attempted,abbiamo tentato,we attempted,avete tentato,you all attempted,hanno tentato,they attempted
curare,to cure,ho curato,I treated,hai curato,you treated,ha curato,he/she treated,abbiamo curato,we treated,avete curato,you all treated,hanno curato,they treated
finalizzare,to finalize,ho finalizzato,I finalized,hai finalizzato,you finalized,ha finalizzato,he/she finalized,abbiamo finalizzato,we finalized,avete finalizzato,you all finalized,hanno finalizzato,they finalized
addossare,to place upon,ho addossato,I blamed/loaded,hai addossato,you blamed/loaded,ha addossato,he/she blamed/loaded,abbiamo addossato,we blamed/loaded,avete addossato,you all blamed/loaded,hanno addossato,they blamed/loaded
escludere,to exclude,ho escluso,I excluded,hai escluso,you excluded,ha escluso,he/she excluded,abbiamo escluso,we excluded,avete escluso,you all excluded,hanno escluso,they excluded
attenere,to pertain,ho attenuto,I attained/adhered,hai attenuto,you attained/adhered,ha attenuto,he/she attained/adhered,abbiamo attenuto,we attained/adhered,avete attenuto,you all attained/adhered,hanno attenuto,they attained/adhered
dormire,to sleep,ho dormito,I slept,hai dormito,you slept,ha dormito,he/she slept,abbiamo dormito,we slept,avete dormito,you all slept,hanno dormito,they slept
coprire,to cover,ho coperto,I covered,hai coperto,you covered,ha coperto,he/she covered,abbiamo coperto,we covered,avete coperto,you all covered,hanno coperto,they covered
preparare,to prepare,ho preparato,I prepared,hai preparato,you prepared,ha preparato,he/she prepared,abbiamo preparato,we prepared,avete preparato,you all prepared,hanno preparato,they prepared
consultare,to consult,ho consultato,I consulted,hai consultato,you consulted,ha consultato,he/she consulted,abbiamo consultato,we consulted,avete consultato,you all consulted,hanno consultato,they consulted
collegare,to connect,ho collegato,I connected,hai collegato,you connected,ha collegato,he/she connected,abbiamo collegato,we connected,avete collegato,you all connected,hanno collegato,they connected
condannare,to condemn,ho condannato,I condemned,hai condannato,you condemned,ha condannato,he/she condemned,abbiamo condannato,we condemned,avete condannato,you all condemned,hanno condannato,they condemned
avanzare,to advance,ho avanzato,I advanced,hai avanzato,you advanced,ha avanzato,he/she advanced,abbiamo avanzato,we advanced,avete avanzato,you all advanced,hanno avanzato,they advanced
segnare,to mark,ho segnato,I marked,hai segnato,you marked,ha segnato,he/she marked,abbiamo segnato,we marked,avete segnato,you all marked,hanno segnato,they marked
esercire,to exercise (rare),ho esercito,I exercised,hai esercito,you exercised,ha esercito,he/she exercised,abbiamo esercito,we exercised,avete esercito,you all exercised,hanno esercito,they exercised
pungere,to sting,ho punto,I stung,hai punto,you stung,ha punto,he/she stung,abbiamo punto,we stung,avete punto,you all stung,hanno punto,they stung
puntare,to point,ho puntato,I aimed,hai puntato,you aimed,ha puntato,he/she aimed,abbiamo puntato,we aimed,avete puntato,you all aimed,hanno puntato,they aimed
proteggere,to protect,ho protetto,I protected,hai protetto,you protected,ha protetto,he/she protected,abbiamo protetto,we protected,avete protetto,you all protected,hanno protetto,they protected
attendere,to wait,ho atteso,I waited,hai atteso,you waited,ha atteso,he/she waited,abbiamo atteso,we waited,avete atteso,you all waited,hanno atteso,they waited
descrivere,to describe,ho descritto,I described,hai descritto,you described,ha descritto,he/she described,abbiamo descritto,we described,avete descritto,you all described,hanno descritto,they described
distinguere,to distinguish,ho distinto,I distinguished,hai distinto,you distinguished,ha distinto,he/she distinguished,abbiamo distinto,we distinguished,avete distinto,you all distinguished,hanno distinto,they distinguished
analizzare,to analyze,ho analizzato,I analyzed,hai analizzato,you analyzed,ha analizzato,he/she analyzed,abbiamo analizzato,we analyzed,avete analizzato,you all analyzed,hanno analizzato,they analyzed
esaminare,to examine,ho esaminato,I examined,hai esaminato,you examined,ha esaminato,he/she examined,abbiamo esaminato,we examined,avete esaminato,you all examined,hanno esaminato,they examined
facilitare,to facilitate,ho facilitato,I facilitated,hai facilitato,you facilitated,ha facilitato,he/she facilitated,abbiamo facilitato,we facilitated,avete facilitato,you all facilitated,hanno facilitato,they facilitated
interpretare,to interpret,ho interpretato,I interpreted,hai interpretato,you interpreted,ha interpretato,he/she interpreted,abbiamo interpretato,we interpreted,avete interpretato,you all interpreted,hanno interpretato,they interpreted
elaborare,to process,ho elaborato,I processed,hai elaborato,you processed,ha elaborato,he/she processed,abbiamo elaborato,we processed,avete elaborato,you all processed,hanno elaborato,they processed
convenire,to agree / to be worthwhile,sono convenuto/a,I agreed,sei convenuto/a,you agreed,è convenuto/a,he/she agreed,siamo convenuti/e,we agreed,siete convenuti/e,you all agreed,sono convenuti/e,they agreed
provocare,to provoke,ho provocato,I provoked,hai provocato,you provoked,ha provocato,he/she provoked,abbiamo provocato,we provoked,avete provocato,you all provoked,hanno provocato,they provoked
togliere,to remove,ho tolto,I have taken away,hai tolto,you have taken away,ha tolto,he/she has taken away,abbiamo tolto,we have taken away,avete tolto,you all have taken away,hanno tolto,they have taken away
ribadire,to reiterate,ho ribadito,I have reiterated,hai ribadito,you have reiterated,ha ribadito,he/she has reiterated,abbiamo ribadito,we have reiterated,avete ribadito,you all have reiterated,hanno ribadito,they have reiterated
integrare,to integrate,ho integrato,I have integrated,hai integrato,you have integrated,ha integrato,he/she has integrated,abbiamo integrato,we have integrated,avete integrato,you all have integrated,hanno integrato,they have integrated
divenire,to become,sono divenuto/a,I have become,sei divenuto/a,you have become,è divenuto/a,he/she has become,siamo divenuti/e,we have become,siete divenuti/e,you all have become,sono divenuti/e,they have become
richiamare,to recall,ho richiamato,I have recalled,hai richiamato,you have recalled,ha richiamato,he/she has recalled,abbiamo richiamato,we have recalled,avete richiamato,you all have recalled,hanno richiamato,they have recalled
abbandonare,to abandon,ho abbandonato,I have abandoned,hai abbandonato,you have abandoned,ha abbandonato,he/she has abandoned,abbiamo abbandonato,we have abandoned,avete abbandonato,you all have abandoned,hanno abbandonato,they have abandoned
delegare,to delegate,ho delegato,I have delegated,hai delegato,you have delegated,ha delegato,he/she has delegated,abbiamo delegato,we have delegated,avete delegato,you all have delegated,hanno delegato,they have delegated
denominare,to name,ho denominato,I have denominated,hai denominato,you have denominated,ha denominato,he/she has denominated,abbiamo denominato,we have denominated,avete denominato,you all have denominated,hanno denominato,they have denominated
conservare,to conserve,ho conservato,I have preserved,hai conservato,you have preserved,ha conservato,he/she has preserved,abbiamo conservato,we have preserved,avete conservato,you all have preserved,hanno conservato,they have preserved
perseguire,to pursue,ho perseguito,I have pursued,hai perseguito,you have pursued,ha perseguito,he/she has pursued,abbiamo perseguito,we have pursued,avete perseguito,you all have pursued,hanno perseguito,they have pursued
contrastare,to contrast,ho contrastato,I have contrasted,hai contrastato,you have contrasted,ha contrastato,he/she has contrasted,abbiamo contrastato,we have contrasted,avete contrastato,you all have contrasted,hanno contrastato,they have contrasted
stipulare,to stipulate,ho stipulato,I have stipulated,hai stipulato,you have stipulated,ha stipulato,he/she has stipulated,abbiamo stipulato,we have stipulated,avete stipulato,you all have stipulated,hanno stipulato,they have stipulated
situare,to situate,ho situato,I have situated,hai situato,you have situated,ha situato,he/she has situated,abbiamo situato,we have situated,avete situato,you all have situated,hanno situato,they have situated
commettere,to commit,ho commesso,I have committed,hai commesso,you have committed,ha commesso,he/she has committed,abbiamo commesso,we have committed,avete commesso,you all have committed,hanno commesso,they have committed
giudicare,to judge,ho giudicato,I have judged,hai giudicato,you have judged,ha giudicato,he/she has judged,abbiamo giudicato,we have judged,avete giudicato,you all have judged,hanno giudicato,they have judged
ripetere,to repeat,ho ripetuto,I have repeated,hai ripetuto,you have repeated,ha ripetuto,he/she has repeated,abbiamo ripetuto,we have repeated,avete ripetuto,you all have repeated,hanno ripetuto,they have repeated
dispiacere,to be displeased / to regret,sono dispiaciuto/a,I am sorry,sei dispiaciuto/a,you are sorry,è dispiaciuto/a,he/she is sorry,siamo dispiaciuti/e,we are sorry,siete dispiaciuti/e,you all are sorry,sono dispiaciuti/e,they are sorry
avvalersi,to avail oneself,mi sono avvalso/a,I have made use of,ti sei avvalso/a,you have made use of,si è avvalso/a,he/she has made use of,ci siamo avvalsi/e,we have made use of,vi siete avvalsi/e,you all have made use of,si sono avvalsi/e,they have made use of
usufruire,to make use of,ho usufruito,I have made use of,hai usufruito,you have made use of,ha usufruito,he/she has made use of,abbiamo usufruito,we have made use of,avete usufruito,you all have made use of,hanno usufruito,they have made use of
investire,to invest / to hit,ho investito,I have invested,hai investito,you have invested,ha investito,he/she has invested,abbiamo investito,we have invested,avete investito,you all have invested,hanno investito,they have invested
guidare,to drive / to guide,ho guidato,I drove,hai guidato,you drove,ha guidato,he/she drove,abbiamo guidato,we drove,avete guidato,you all drove,hanno guidato,they drove
completare,to complete,ho completato,I completed,hai completato,you completed,ha completato,he/she completed,abbiamo completato,we completed,avete completato,you all completed,hanno completato,they completed
sfruttare,to exploit,ho sfruttato,I exploited,hai sfruttato,you exploited,ha sfruttato,he/she exploited,abbiamo sfruttato,we exploited,avete sfruttato,you all exploited,hanno sfruttato,they exploited
insegnare,to teach,ho insegnato,I taught,hai insegnato,you taught,ha insegnato,he/she taught,abbiamo insegnato,we taught,avete insegnato,you all taught,hanno insegnato,they taught
incaricare,to charge / to task,ho incaricato,I charged/tasked,hai incaricato,you charged/tasked,ha incaricato,he/she charged/tasked,abbiamo incaricato,we charged/tasked,avete incaricato,you all charged/tasked,hanno incaricato,they charged/tasked
redigere,to draft,ho redatto,I drafted/wrote,hai redatto,you drafted/wrote,ha redatto,he/she drafted/wrote,abbiamo redatto,we drafted/wrote,avete redatto,you all drafted/wrote,hanno redatto,they drafted/wrote
implicare,to imply,ho implicato,I implied,hai implicato,you implied,ha implicato,he/she implied,abbiamo implicato,we implied,avete implicato,you all implied,hanno implicato,they implied
suonare,to play (an instrument) / to ring,ho suonato,I played,hai suonato,you played,ha suonato,he/she played,abbiamo suonato,we played,avete suonato,you all played,hanno suonato,they played
finanziare,to finance,ho finanziato,I financed,hai finanziato,you financed,ha finanziato,he/she financed,abbiamo finanziato,we financed,avete finanziato,you all financed,hanno finanziato,they financed
identificare,to identify,ho identificato,I identified,hai identificato,you identified,ha identificato,he/she identified,abbiamo identificato,we identified,avete identificato,you all identified,hanno identificato,they identified
associare,to associate,ho associato,I associated,hai associato,you associated,ha associato,he/she associated,abbiamo associato,we associated,avete associato,you all associated,hanno associato,they associated
emanare,to emanate / to issue,ho emanato,I issued,hai emanato,you issued,ha emanato,he/she issued,abbiamo emanato,we issued,avete emanato,you all issued,hanno emanato,they issued
impostare,to set up / to configure,ho impostato,I set/configured,hai impostato,you set/configured,ha impostato,he/she set/configured,abbiamo impostato,we set/configured,avete impostato,you all set/configured,hanno impostato,they set/configured
rivedere,to review / to see again,ho rivisto,I reviewed,hai rivisto,you reviewed,ha rivisto,he/she reviewed,abbiamo rivisto,we reviewed,avete rivisto,you all reviewed,hanno rivisto,they reviewed
accertare,to ascertain,ho accertato,I ascertained,hai accertato,you ascertained,ha accertato,he/she ascertained,abbiamo accertato,we ascertained,avete accertato,you all ascertained,hanno accertato,they ascertained
apportare,to bring (changes),ho apportato,I brought/made (changes),hai apportato,you brought/made (changes),ha apportato,he/she brought/made (changes),abbiamo apportato,we brought/made (changes),avete apportato,you all brought/made (changes),hanno apportato,they brought/made (changes)
informare,to inform,ho informato,I informed,hai informato,you informed,ha informato,he/she informed,abbiamo informato,we informed,avete informato,you all informed,hanno informato,they informed
illustrare,to illustrate,ho illustrato,I illustrated,hai illustrato,you illustrated,ha illustrato,he/she illustrated,abbiamo illustrato,we illustrated,avete illustrato,you all illustrated,hanno illustrato,they illustrated
vietare,to forbid,ho vietato,I forbade,hai vietato,you forbade,ha vietato,he/she forbade,abbiamo vietato,we forbade,avete vietato,you all forbade,hanno vietato,they forbade
respingere,to reject / to push back,ho respinto,I rejected,hai respinto,you rejected,ha respinto,he/she rejected,abbiamo respinto,we rejected,avete respinto,you all rejected,hanno respinto,they rejected
