italian_original,italian,function,english
arrivederci,arrivederci,interiezione,goodbye
immaginare,immaginare,verbo transitivo,to imagine
stressare,stressare,verbo transitivo,to stress
preoccuparsi,preoccuparsi,verbo intransitivo pronominale,to worry
perciò,perciò,congiunzione,therefore
sbagliare/si,sbagliare/si,v.t. - v.int. - v.int. pron.,to make a mistake / to be mistaken
tasca,la tasca,sostantivo,pocket
tardi,tardi,avverbio,late
ghiaccio,il ghiaccio,sostantivo,ice
casa,la casa,sostantivo,house
nonno/a,il nonno,sostantivo,grandfather
lavare/si,lavare/si,v.t. - v.rif.,to wash / to wash oneself
causa,la causa,sostantivo,cause
pomodoro,il pomodoro,sostantivo,tomato
doppio,doppio/a/i/e,aggettivo,double
ultimo,ultimo/a/i/e,aggettivo,last
musica,la musica,sostantivo,music
offerta,l'offerta,sostantivo,offer
sdraiare/si,sdraiare/si,v. t. - v. rifl.,to lie down
pera,la pera,sostantivo,pear
nervoso,nervoso/a/i/e,aggettivo,nervous
stesso,stesso/a/i/e,aggettivo,same
oggetto,l'oggetto,sostantivo,object
fulmine,il fulmine,sostantivo,lightning
bocca,la bocca,sostantivo,mouth
supermercato,il supermercato,sostantivo,supermarket
ascoltare,ascoltare,verbo transitivo,to listen
serio,serio/a/i/e,aggettivo,serious
traslocare,traslocare,verbo intransitivo,to move
confine,il confine,sostantivo,border
attendere,attendere,verbo transitivo,wait
bottiglia,la bottiglia,sostantivo,bottle
scegliere,scegliere,verbo transitivo,to choose
ricordo,il ricordo,sostantivo,memory
ingegnere,l'ingegnere,sostantivo,engineer
impiegato/a,l'impiegato/a,sostantivo,employee
magnifico,magnifico/a/i/e,aggettivo,magnificent
conoscenza,la conoscenza,sostantivo,knowledge
largo,largo/a/i/e,aggettivo,wide
ospite,l'ospite,sostantivo,guest
nazione,la nazione,sostantivo,nation
mano,la mano,sostantivo,hand
dopodomani,dopodomani,avverbio,the day after tomorrow
previsione,la previsione,sostantivo,forecast
caffè,il caffè,sostantivo,coffee
ancora,ancora,avverbio,still
soffitto,il soffitto,sostantivo,ceiling
come,come,avverbio,how
barca,la barca,sostantivo,boat
minore,minore/i,aggettivo,minor
stampare,stampare,verbo transitivo,to print
ricetta,la ricetta,sostantivo,recipe
commesso/a,il commesso,sostantivo,shop assistant
curriculum vitae,curriculum vitae,loc.sost.m.,resume
accompagnare,accompagnare,verbo transitivo,accompany
lenzuolo,il lenzuolo,sostantivo,bedsheet
lago,il lago,sostantivo,lake
imparare,imparare,verbo transitivo,to learn
traffico,il traffico,sostantivo,traffic
fumetto,il fumetto,sostantivo,comic book
cuore,il cuore,sostantivo,heart
amore,l'amore,sostantivo,love
freezer,il freezer,sostantivo,freezer
tigre,la tigre,sostantivo,tiger
stanco,stanco/a/i/e,aggettivo,tired
secondo,secondo,s.m. - prep.  - agg.,second
ambulanza,l'ambulanza,sostantivo,ambulance
raccontare,raccontare,verbo transitivo,to tell
spaventare,spaventare,verbo transitivo,frighten
svolgere,svolgere,verbo transitivo,to carry out
semplice,semplice/i,aggettivo,simple
shampoo,lo shampoo,sostantivo,shampoo
regista,il regista,sostantivo,director
nome,il nome,sostantivo,name
e-mail,l'e-mail,sostantivo,email
risultato,il risultato,sostantivo,result
gelato,il gelato,sostantivo - aggettivo,ice cream
cd,il cd,sostantivo,CD
maestro/a,il maestro / la maestra,sostantivo,teacher
villaggio,il villaggio,sostantivo,village
lento,lento/a/i/e,aggettivo,slow
carnevale,il carnevale,sostantivo,carnival
elegante,elegante/i,aggettivo,elegant
pelle,la pelle,sostantivo,skin
stage,lo stage,sostantivo,internship
condoglianza,la condoglianza,sostantivo,condolence
domandare,domandare,verbo transitivo,to ask
plastica,la plastica,sostantivo,plastic
romantico,romantico/a/i/e,aggettivo,romantic
capello,il capello,sostantivo,hair
lettera,la lettera,sostantivo,letter
importante,importante/i,aggettivo,important
sciroppo,lo sciroppo,sostantivo,syrup
giocattolo,il giocattolo,sostantivo,toy
assegno,l'assegno,sostantivo,check
uscire,uscire,verbo intransitivo,to go out
negozio,il negozio,sostantivo,shop
volere,volere,verbo intransitivo,to want
lì,lì,avverbio,there
moto(cicletta),la motocicletta,sostantivo,motorcycle
chiaro,chiaro/a/i/e,aggettivo,clear
subito,subito,avverbio,immediately
intelligente,intelligente/i,aggettivo,intelligent
vietare,vietare,verbo transitivo,to forbid
reparto,il reparto,sostantivo,department
salita,la salita,sostantivo,ascent
avere,avere,verbo transitivo,to have
raccomandata,la raccomandata,sostantivo,registered letter
cipolla,la cipolla,sostantivo,onion
male,male,avverbio,badly
vigile/ssa,il vigile/la vigilessa,sostantivo,traffic officer
camicia,la camicia,sostantivo,shirt
nostro,nostro,agg. – pron.,our
calma,la calma,sostantivo,calm
braccio,il braccio,sostantivo,arm
cadere,cadere,verbo intransitivo,to fall
banco,il banco,sostantivo,desk
passeggiata,la passeggiata,sostantivo,walk
tenda,la tenda,sostantivo,curtain
con,con,preposizione,with
mancia,la mancia,sostantivo,tip
fine,la fine,sostantivo,end
strada,la strada,sostantivo,street
vuoto,vuoto/a/i/e,aggettivo,empty
no,no,avverbio,no
importare,importare,verbo intransitivo,to matter
cambiare,cambiare,verbo transitivo - verbo intransitivo,to change
venire,venire,verbo intransitivo,to come
nascondere,nascondere,verbo transitivo,to hide
migliorare,migliorare,verbo transitivo - verbo intransitivo,to improve
