italian_original,italian,function,english
tale,tale/i,aggettivo,such
tagliare,tagliare,verbo transitivo,to cut
liceo,il liceo,sostantivo,high school
coraggio,il coraggio,interiezione - sostantivo,courage
benvenuto,benvenuto/a/i/e,aggettivo,welcome
frequentare,frequentare,verbo transitivo,to attend
quando,quando,cong. - avv.,when
coperta,la coperta,sostantivo,blanket
annoiarsi,annoiarsi,verbo intransitivo pronominale,to be bored
passare,passare,verbo transitivo,to pass
stamattina,stamattina,avverbio,this morning
funzionare,funzionare,verbo intransitivo,to work
cliccare,cliccare,verbo transitivo,to click
lunedì,il lunedì,sostantivo,Monday
offrire,offrire,verbo transitivo,to offer
maiale,il maiale,sostantivo,pig
compagnia,la compagnia,sostantivo,company
divano,il divano,sostantivo,sofa
tempo,il tempo,sostantivo,time
affittare,affittare,verbo transitivo,to rent
dimenticare/si,dimenticare,verbo transitivo - verbo intransitivo pronominale,to forget
oggi,oggi,avverbio,today
nuovo,nuovo/a/i/e,aggettivo,new
nuvoloso,nuvoloso/a/i/e,aggettivo,cloudy
minestra,la minestra,sostantivo,soup
svegliare/si,svegliare,verbo transitivo - verbo intransitivo pronominale,to wake up
attentamente,attentamente,avverbio,carefully
Pasqua,la Pasqua,sostantivo,Easter
riassumere,riassumere,verbo transitivo,summarize
costoso,costoso/a/i/e,aggettivo,expensive
presidente,il presidente,sostantivo,president
scultura,la scultura,sostantivo,sculpture
probabilmente,probabilmente,avverbio,probably
posta,la posta,sostantivo,mail
sconto,lo sconto,sostantivo,discount
noi,noi,pronome,we
bollente,bollente/i,aggettivo,boiling
cambiare,cambiare,verbo transitivo - verbo intransitivo,to change
bagaglio,il bagaglio,sostantivo,luggage
attimo,l'attimo,sostantivo,moment
concludere,concludere,verbo transitivo,conclude
impressione,l'impressione,sostantivo,impression
plastica,la plastica,sostantivo,plastic
riprendere/si,riprendere,verbo transitivo - verbo intransitivo pronominale,resume
giorno,il giorno,sostantivo,day
capo,il capo,sostantivo,boss
padrone/a,il padrone / la padrona,sostantivo,owner
vivere,vivere,verbo intransitivo,to live
favore,il favore,sostantivo,favor
turismo,il turismo,sostantivo,tourism
sottolineare,sottolineare,verbo transitivo,underline
prossimo,prossimo/a/i/e,aggettivo,next
riso,il riso,sostantivo,rice
accarezzare,accarezzare,verbo transitivo,to caress
suo,suo,agg. - pron.,his/her
massimo,massimo/a/i/e,aggettivo,maximum
arrabbiarsi,arrabbiarsi,verbo intransitivo pronominale,to get angry
campagna,la campagna,sostantivo,countryside
spaghetto,lo spaghetto,sostantivo,spaghetti
parte,la parte,sostantivo,part
buono,buono/a/i/e,aggettivo,good
frase,la frase,sostantivo,sentence
calcolare,calcolare,verbo transitivo,calculate
distinto,distinto/a/i/e,aggettivo,distinguished
finalmente,finalmente,avverbio,finally
senza,senza,prep.- avv.,without
vigile/ssa,il vigile/la vigilessa,sostantivo,traffic officer
terminare,terminare,verbo transitivo,to finish
augurare/si,augurare,verbo transitivo - verbo transitivo pronominale,to wish
fratello,il fratello,sostantivo,brother
consigliare,consigliare,verbo transitivo,to advise
arrosto,l'arrosto,sostantivo,roast
la,la,art. - pron.,the
protagonista,il protagonista,sostantivo,protagonist
pompiere,il pompiere,sostantivo,firefighter
grazie,grazie,interiezione,thank you
bisogno,il bisogno,sostantivo,need
quaderno,il quaderno,sostantivo,notebook
porco,porco/a/chi/che,aggettivo,filthy
accanto,accanto,avverbio,next to
scorso,scorso/a/i/e,aggettivo,last
incendio,l'incendio,sostantivo,fire
pillola,la pillola,sostantivo,pill
malattia,la malattia,sostantivo,illness
conoscere,conoscere,verbo transitivo,to know
normale,normale/i,aggettivo,normal
sviluppare,sviluppare,verbo transitivo,to develop
assassino/a,l'assassino/a,sostantivo,murderer
istituto,l'istituto,sostantivo,institute
comunicazione,la comunicazione,sostantivo,communication
abbassare,abbassare,verbo transitivo,to lower
avaro,avaro/a/i/e,aggettivo,stingy
ridicolo,ridicolo/a/i/e,aggettivo,ridiculous
aumento,l'aumento,sostantivo,increase
peggiorare,peggiorare,verbo transitivo,to worsen
quartiere,il quartiere,sostantivo,neighborhood
continuare,continuare,verbo transitivo,to continue
possedere,possedere,verbo transitivo,to possess
senso,il senso,sostantivo,sense
ovvio,ovvio/a/i/e,aggettivo,obvious
gara,la gara,sostantivo,competition
andarsene,andarsene,verbo intransitivo pronominale,to leave
cavolo,cavolo,interiezione,damn
pasta,la pasta,sostantivo,pasta
zio/a,lo zio,sostantivo,uncle
firma,la firma,sostantivo,signature
assumere,assumere,verbo transitivo,to hire
creare,creare,verbo transitivo,to create
festivo,festivo/a/i/e,aggettivo,festive
pedonale,pedonale/i,aggettivo,pedestrian
autostrada,l'autostrada,sostantivo,motorway
deserto,il deserto,sostantivo,desert
cartolina,la cartolina,sostantivo,postcard
diventare,diventare,verbo intransitivo,to become
patente,la patente,sostantivo,driver's license
buonasera,buonasera,interiezione,good evening
poeta/essa,il poeta,sostantivo,poet
commentare,commentare,verbo transitivo,to comment
rischioso,rischioso/a/i/e,aggettivo,risky
abbandonare,abbandonare,verbo transitivo,abandon
iniziare,iniziare,verbo transitivo - verbo intransitivo,to begin
rubare,rubare,verbo transitivo,to steal
carriera,la carriera,sostantivo,career
bollettino,il bollettino,sostantivo,bulletin
acqua,l'acqua,sostantivo,water
inquinamento,l'inquinamento,sostantivo,pollution
pacco,il pacco,sostantivo,package
bacio,il bacio,sostantivo,kiss
ammalarsi,ammalarsi,verbo intransitivo pronominale,to get sick
ammobiliato,ammobiliato/a/i/e,aggettivo,furnished
pisello,il pisello,sostantivo,pea
faccia,la faccia,sostantivo,face
lavagna,la lavagna,sostantivo,blackboard
morire,morire,verbo intransitivo,to die
bugia,la bugia,sostantivo,lie
natura,la natura,sostantivo,nature
metro,la metro,sostantivo,subway
essere,essere,verbo intransitivo,to be
differenza,la differenza,sostantivo,difference
economia,l'economia,sostantivo,economy
vasca,la vasca,sostantivo,bathtub
sciopero,lo sciopero,sostantivo,strike
comprendere,comprendere,verbo transitivo,to understand
soffrire,soffrire,verbo intransitivo,to suffer
condannare,condannare,verbo transitivo,condemn
gatto,il gatto,sostantivo,cat
teatro,il teatro,sostantivo,theater
vantaggio,il vantaggio,sostantivo,advantage
fermata,la fermata,sostantivo,stop
porto,il porto,sostantivo,port
periferia,la periferia,sostantivo,outskirts
pantalone,il pantalone,sostantivo,trousers
innocente,innocente/i,aggettivo,innocent
pronuncia,la pronuncia,sostantivo,pronunciation
raramente,raramente,avverbio,rarely
prosciutto,il prosciutto,sostantivo,ham
abbondante,abbondante/i,aggettivo,abundant
neanche,neanche,avv. - cong.,neither
elicottero,l'elicottero,sostantivo,helicopter
lavorare,lavorare,verbo intransitivo,to work
informare,informare,verbo transitivo,to inform
finestra,la finestra,sostantivo,window
ponte,il ponte,sostantivo,bridge
dialetto,il dialetto,sostantivo,dialect
questo,questo,agg. - pron.,this
maglione,il maglione,sostantivo,sweater
geografia,la geografia,sostantivo,geography
via,via,s.f. – avv.,street
tenero,tenero/a/i/e,aggettivo,tender
asilo,l'asilo,sostantivo,kindergarten
industria,l'industria,sostantivo,industry
forchetta,la forchetta,sostantivo,fork
gita,la gita,sostantivo,trip
padre,il padre,sostantivo,father
vecchio,vecchio/a/i/e,aggettivo,old
viso,il viso,sostantivo,face
sistema,il sistema,sostantivo,system
camminare,camminare,verbo intransitivo,to walk
scusare,scusare,verbo transitivo,to excuse
tortellino,il tortellino,sostantivo,tortellino
piazza,la piazza,sostantivo,square
reclamo,il reclamo,sostantivo,complaint
romantico,romantico/a/i/e,aggettivo,romantic
eccezionale,eccezionale/i,aggettivo,exceptional
preoccuparsi,preoccuparsi,verbo intransitivo pronominale,to worry
cantante,il cantante,sostantivo,singer
cotone,il cotone,sostantivo,cotton
buongiorno,buongiorno,interiezione,good morning
tappeto,il tappeto,sostantivo,rug
bosco,il bosco,sostantivo,wood
peggiore,peggiore/i,aggettivo,worse
dettato,il dettato,sostantivo,dictation
rinunciare,rinunciare,verbo intransitivo,to renounce
giornata,la giornata,sostantivo,day
questura,la questura,sostantivo,police headquarters
ulteriore,ulteriore/i,aggettivo,further
avere,avere,verbo transitivo,to have
stazione,la stazione,sostantivo,station
maggiore,maggiore/i,aggettivo,greater
decidere,decidere,verbo transitivo,decide
sale,il sale,sostantivo,salt
diploma,il diploma,sostantivo,diploma
disabile,disabile/i,aggettivo,disabled
sms,l'sms,sostantivo,text message
educazione,l'educazione,sostantivo,education
sandalo,il sandalo,sostantivo,sandal
mensa,la mensa,sostantivo,canteen
sicurezza,la sicurezza,sostantivo,safety
dieta,la dieta,sostantivo,diet
matita,la matita,sostantivo,pencil
torto,il torto,sostantivo,wrong
movimento,il movimento,sostantivo,movement
aperitivo,l'aperitivo,sostantivo,aperitif
tra,tra,preposizione,between
spingere,spingere,verbo transitivo,push
tennis,il tennis,sostantivo,tennis
orario,l'orario,sostantivo,schedule
cd,il cd,sostantivo,CD
guidare,guidare,verbo transitivo,to drive
palestra,la palestra,sostantivo,gym
olio,l'olio,sostantivo,oil
speciale,speciale/i,aggettivo,special
favola,la favola,sostantivo,fable
poi,poi,avverbio,then
niente,niente,pron. - avv.,nothing
soldato/essa,il soldato,sostantivo,soldier
tetto,il tetto,sostantivo,roof
contro,contro,preposizione,against
ricordo,il ricordo,sostantivo,memory
bilancia,la bilancia,sostantivo,scale
impianto,l'impianto,sostantivo,system
attività,l'attività,sostantivo,activity
spiaggia,la spiaggia,sostantivo,beach
danno,il danno,sostantivo,damage
indimenticabile,indimenticabile/i,aggettivo,unforgettable
specializzarsi,specializzarsi,verbo intransitivo pronominale,to specialize
servire,servire,verbo intransitivo,to serve
costo,il costo,sostantivo,cost
quindi,quindi,avv. - cong.,therefore
peccato,il peccato,sostantivo,sin
pubblico,pubblico/a/i/e,aggettivo,public
ballare,ballare,verbo intransitivo,to dance
guanto,il guanto,sostantivo,glove
condividere,condividere,verbo transitivo,to share
metallo,il metallo,sostantivo,metal
importare,importare,verbo intransitivo,to matter
prezzemolo,il prezzemolo,sostantivo,parsley
voi,voi,pronome,you
alzarsi,alzarsi,verbo riflessivo,to get up
raggiungere,raggiungere,verbo transitivo,reach
mercato,il mercato,sostantivo,market
finale,finale/i,aggettivo,final
mercoledì,il mercoledì,sostantivo,Wednesday
ricordare/si,ricordare,v.t. - v.t. pron. - v.int. pron.,to remember
decisione,la decisione,sostantivo,decision
termosifone,il termosifone,sostantivo,radiator
mura,le mura,sostantivo,walls
benzina,la benzina,sostantivo,gasoline
sembrare,sembrare,verbo intransitivo,to seem
mezzanotte,la mezzanotte,sostantivo,midnight
lezione,la lezione,sostantivo,lesson
reparto,il reparto,sostantivo,department
ricerca,la ricerca,sostantivo,research
quadro,il quadro,sostantivo - aggettivo,painting
morbido,morbido/a/i/e,aggettivo,soft
innamorarsi,innamorarsi,verbo intransitivo pronominale,to fall in love
ringraziare,ringraziare,verbo transitivo,to thank
centimetro,il centimetro,sostantivo,centimeter
scusa,la scusa,sostantivo,excuse
mela,la mela,sostantivo,apple
coniuge,il coniuge,sostantivo,spouse
desiderare,desiderare,verbo transitivo,to desire
aiuto,l'aiuto,interiezione - sostantivo,help
dirigente,il dirigente,sostantivo,manager
condominio,il condominio,sostantivo,condominium
realtà,la realtà,sostantivo,reality
termometro,il termometro,sostantivo,thermometer
agricoltura,l'agricoltura,sostantivo,agriculture
monumento,il monumento,sostantivo,monument
assurdo,assurdo/a/i/e,aggettivo,absurd
valore,il valore,sostantivo,value
lavorativo,lavorativo/a/i/e,aggettivo,working
improvviso,improvviso/a/i/e,aggettivo,sudden
prendersela,prendersela,v. t. pron.,to take offense
stage,lo stage,sostantivo,internship
lei,lei,pronome,she
piuttosto,piuttosto,avverbio,rather
terapia,la terapia,sostantivo,therapy
letto,il letto,sostantivo,bed
pazzesco,pazzesco/a/i/e,aggettivo,crazy
lontano,lontano/a/i/e,aggettivo - avverbio,far
moltiplicare,moltiplicare,verbo transitivo,multiply
freezer,il freezer,sostantivo,freezer
scherzare,scherzare,verbo intransitivo,to joke
collegio,il collegio,sostantivo,boarding school
calcio,il calcio,sostantivo,soccer
laurearsi,laurearsi,verbo intransitivo pronominale,to graduate
accendere,accendere,verbo transitivo,to turn on
ferro,il ferro,sostantivo,iron
animale,l'animale,sostantivo,animal
ormai,ormai,avverbio,by now
indispensabile,indispensabile/i,aggettivo,indispensable
dove,dove,avverbio,where
cittadinanza,la cittadinanza,sostantivo,citizenship
camera,la camera,sostantivo,room
dipinto,il dipinto,sostantivo,painting
significare,significare,verbo transitivo,to mean
cellulare,il cellulare,sostantivo,mobile phone
minore,minore/i,aggettivo,minor
chi,chi,pronome,who
sud,il sud,sostantivo,south
sempre,sempre,avverbio,always
meglio,meglio,avv. – agg.,better
Papa,il Papa,sostantivo,Pope
lavare/si,lavare/si,v.t. – v.rifl. - v.t.pron.,to wash / to wash oneself
circa,circa,avverbio,approximately
televisione,la televisione,sostantivo,television
freddo,il freddo,sostantivo - aggettivo,cold
muto,muto/a/i/e,aggettivo,mute
calma,la calma,sostantivo,calm
novità,la novità,sostantivo,novelty
te,te,pronome,you
sicuramente,sicuramente,avverbio,definitely
lupo,il lupo,sostantivo,wolf
camicia,la camicia,sostantivo,shirt
pomodoro,il pomodoro,sostantivo,tomato
foglio,il foglio,sostantivo,sheet
vita,la vita,sostantivo,life
biglietto,il biglietto,sostantivo,ticket
divorziare,divorziare,verbo intransitivo,to divorce
convincere,convincere,verbo transitivo,to convince
bilocale,il bilocale,sostantivo,two-room apartment
sicuro,sicuro/a/i/e,aggettivo,sure
busta,la busta,sostantivo,envelope
pezzo,il pezzo,sostantivo,piece
verdura,la verdura,sostantivo,vegetable
noioso,noioso/a/i/e,aggettivo,boring
opportuno,opportuno/a/i/e,aggettivo,appropriate
disperare,disperare,verbo intransitivo,despair
sala,la sala,sostantivo,hall
prato,il prato,sostantivo,meadow
piacevole,piacevole/i,aggettivo,pleasant
scarpa,la scarpa,sostantivo,shoe
check-in,il check-in,sostantivo,check-in
orecchio,l'orecchio,sostantivo,ear
sillaba,la sillaba,sostantivo,syllable
settimana,la settimana,sostantivo,week
fax,il fax,sostantivo,fax
fare,fare,verbo transitivo,to do
silenzio,il silenzio,sostantivo,silence
neve,la neve,sostantivo,snow
fuoco,il fuoco,sostantivo,fire
omicidio,l'omicidio,sostantivo,murder
fronte,la fronte,sostantivo,forehead
vi,vi,pronome,you
dormire,dormire,verbo intransitivo,to sleep
parere,il parere,sostantivo,opinion
marrone,marrone,aggettivo,brown
le,le,art. - pron.,the
pessimista,pessimista/e,aggettivo,pessimistic
da,da,preposizione,from
torre,la torre,sostantivo,tower
umido,umido/a/i/e,aggettivo,damp
collocamento,il collocamento,sostantivo,placement
tovaglia,la tovaglia,sostantivo,tablecloth
fila,la fila,sostantivo,line
città,la città,sostantivo,city
talk-show,il talk-show,sostantivo,talk show
sacco,il sacco,sostantivo,sack
balcone,il balcone,sostantivo,balcony
Natale,il Natale,sostantivo,Christmas
appuntamento,l'appuntamento,sostantivo,appointment
studiare,studiare,verbo transitivo,to study
santo,il santo,aggettivo - sostantivo,saint
pranzare,pranzare,verbo intransitivo,to have lunch
quotidiano,il quotidiano,sostantivo,newspaper
dialogo,il dialogo,sostantivo,dialogue
compagno/a,il compagno / la compagna,sostantivo,companion
con,con,preposizione,with
praticamente,praticamente,avverbio,practically
abilità,l'abilità,sostantivo,ability
frullatore,il frullatore,sostantivo,blender
hobby,l'hobby,sostantivo,hobby
togliere,togliere,verbo transitivo,to remove
indifferente,indifferente/i,aggettivo,indifferent
colloquio,il colloquio,sostantivo,interview
opportunità,l'opportunità,sostantivo,opportunity
punto,il punto,sostantivo,point
aggiustare,aggiustare,verbo transitivo,fix
uccidere,uccidere,verbo transitivo,to kill
ideologia,l'ideologia,sostantivo,ideology
svantaggio,lo svantaggio,sostantivo,disadvantage
parlare,parlare,verbo transitivo - verbo intransitivo,to speak
citare,citare,verbo transitivo,to cite
cioccolato,il cioccolato,sostantivo,chocolate
paga,la paga,sostantivo,pay
già,già,avverbio,already
testa,la testa,sostantivo,head
contattare,contattare,verbo transitivo,to contact
insipido,insipido/a/i/e,aggettivo,bland
guasto,il guasto,aggettivo - sostantivo,breakdown
moderno,moderno/a/i/e,aggettivo,modern
entro,entro,preposizione,within
casa,la casa,sostantivo,house
migliore,migliore/i,aggettivo,better
viola,viola,aggettivo,purple
magnifico,magnifico/a/i/e,aggettivo,magnificent
correre,correre,verbo intransitivo,to run
puzzare,puzzare,verbo intransitivo,to stink
volere,volere,verbo intransitivo,to want
saggio,il saggio,sostantivo,essay
piccolo,piccolo/a/i/e,aggettivo,small
sviluppo,lo sviluppo,sostantivo,development
passione,la passione,sostantivo,passion
sporco,sporco/a/i/e,aggettivo,dirty
siccome,siccome,congiunzione,since
aeroporto,l'aeroporto,sostantivo,airport
biblioteca,la biblioteca,sostantivo,library
prenotare,prenotare,verbo transitivo,to book
sapore,il sapore,sostantivo,flavor
ambulatorio,l'ambulatorio,sostantivo,clinic
disturbare,disturbare,verbo transitivo,disturb
arma,l'arma,sostantivo,weapon
tranquillo,tranquillo/a/i/e,aggettivo,quiet
infanzia,l'infanzia,sostantivo,childhood
porta,la porta,sostantivo,door
principale,il principale,sostantivo,boss
testo,il testo,sostantivo,text
azienda,l'azienda,sostantivo,company
isola,l'isola,sostantivo,island
sportivo,sportivo/a/i/e,aggettivo,sporty
lato,il lato,sostantivo,side
velocità,la velocità,sostantivo,speed
compito,il compito,sostantivo,homework
vetrina,la vetrina,sostantivo,shop window
informazione,l'informazione,sostantivo,information
fabbrica,la fabbrica,sostantivo,factory
dopo,dopo,avv. - prep,after
farina,la farina,sostantivo,flour
camion,il camion,sostantivo,truck
pronto,pronto/a/i/e,aggettivo,ready
terrorismo,il terrorismo,sostantivo,terrorism
bicicletta,la bicicletta,sostantivo,bicycle
attenzione,l'attenzione,sostantivo,attention
giugno,giugno,sostantivo,June
disgustoso,disgustoso/a/i/e,aggettivo,disgusting
banco,il banco,sostantivo,desk
lasciare,lasciare,verbo transitivo,to leave
affermazione,l'affermazione,sostantivo,statement
falso,falso/a/i/e,aggettivo,false
capitale,la capitale,sostantivo,capital city
linea,la linea,sostantivo,line
politico,politico/a/i/e,aggettivo,political
nipote,il nipote,sostantivo,nephew
pigro,pigro/a/i/e,aggettivo,lazy
ricco,ricco/a/chi/che,aggettivo,rich
insomma,insomma,avverbio,in short
fumo,il fumo,sostantivo,smoke
fondo,il fondo,sostantivo,bottom
incidente,l'incidente,sostantivo,accident
conferenza,la conferenza,sostantivo,conference
mutuo,il mutuo,sostantivo,mortgage
poco,poco,po',little
nazione,la nazione,sostantivo,nation
mite,mite/i,aggettivo,mild
malato,malato/a/i/e,aggettivo,sick
quanto,quanto,agg. - pron - avv.,how much
luogo,il luogo,sostantivo,place
confine,il confine,sostantivo,border
cultura,la cultura,sostantivo,culture
azzurro,azzurro/a/i/e,aggettivo,light blue
visto,il visto,sostantivo,visa
banconota,la banconota,sostantivo,banknote
tuo,tuo,agg. - pron.,your
rotondo,rotondo/a/i/e,aggettivo,round
erba,l'erba,sostantivo,grass
racchetta,la racchetta,sostantivo,racket
genere,il genere,sostantivo,gender
passato,il passato,sostantivo,past
piede,il piede,sostantivo,foot
passaggio,il passaggio,sostantivo,passage
mondo,il mondo,sostantivo,world
ambulanza,l'ambulanza,sostantivo,ambulance
opera,l'opera,sostantivo,work
passeggiare,passeggiare,verbo intransitivo,to walk
celibe,celibe/i,aggettivo,unmarried
femminile,femminile/i,aggettivo,feminine
periodo,il periodo,sostantivo,period
penna,la penna,sostantivo,pen
costringere,costringere,verbo transitivo,force
restituire,restituire,verbo transitivo,return
bastare,bastare,verbo intransitivo,to be enough
attento,attento/a/i/e,aggettivo,attentive
superare,superare,verbo transitivo,overcome
parente,il parente,sostantivo,relative
unico,unico/a/i/e,aggettivo,unique
medio,medio/a/i/e,aggettivo,average
scaffale,lo scaffale,sostantivo,shelf
stampare,stampare,verbo transitivo,to print
postino,il postino,sostantivo,mailman
festa,la festa,sostantivo,party
ritrovare,ritrovare,verbo transitivo,to rediscover
allegro,allegro/a/i/e,aggettivo,cheerful
merenda,la merenda,sostantivo,snack
gonna,la gonna,sostantivo,skirt
polizza,la polizza,sostantivo,policy
solo,solo/a/i/e,aggettivo - avverbio,alone
talvolta,talvolta,avverbio,sometimes
tavola,la tavola,sostantivo,table
loro,loro,pronome - aggettivo,their
maturità,la maturità,sostantivo,maturity
generoso,generoso/a/i/e,aggettivo,generous
nebbia,la nebbia,sostantivo,fog
traslocare,traslocare,verbo intransitivo,to move
vetro,il vetro,sostantivo,glass
indietro,indietro,avverbio,backwards
asciugamano,l'asciugamano,sostantivo,towel
fornello,il fornello,sostantivo,stove
ritardo,il ritardo,sostantivo,delay
grigio,grigio/a/i/e,aggettivo,gray
preside,il preside,sostantivo,principal
carabiniere,il carabiniere,sostantivo,policeman
pensione,la pensione,sostantivo,pension
crescere,crescere,verbo intransitivo,to grow
cordialmente,cordialmente,avverbio,cordially
divertente,divertente/i,aggettivo,funny
vocale,la vocale,sostantivo,vowel
calza,la calza,sostantivo,stocking
licenziare,licenziare,verbo transitivo,to fire
piacere,piacere,v.int - s.m.,pleasure
giocattolo,il giocattolo,sostantivo,toy
rosso,rosso/a/i/e,aggettivo,red
rotatoria,la rotatoria,sostantivo,roundabout
si,si,pronome,himself/herself/themselves
scomodo,scomodo/a/i/e,aggettivo,uncomfortable
arrestare,arrestare,verbo transitivo,to arrest
poltrona,la poltrona,sostantivo,armchair
sedersi,sedersi,verbo intransitivo pronominale,to sit down
tranquillità,la tranquillità,sostantivo,tranquility
rumore,il rumore,sostantivo,noise
impensabile,impensabile/i,aggettivo,unthinkable
complimento,il complimento,sostantivo,compliment
pregare,pregare,verbo transitivo,to pray
insieme,insieme,avverbio,together
progetto,il progetto,sostantivo,project
affitto,l'affitto,sostantivo,rent
mezzo,il mezzo,sostantivo - aggettivo,means
responsabilità,la responsabilità,sostantivo,responsibility
piscina,la piscina,sostantivo,swimming pool
ciascuno,ciascuno,pronome,each
metà,la metà,sostantivo,half
nonno/a,il nonno,sostantivo,grandfather
coltello,il coltello,sostantivo,knife
moneta,la moneta,sostantivo,coin
temperatura,la temperatura,sostantivo,temperature
bianco,bianco/a/i/e,aggettivo,white
figura,la figura,sostantivo,figure
fuori,fuori,avverbio - preposizione,outside
risparmiare,risparmiare,verbo transitivo,to save
sci,lo sci,sostantivo,skiing
dichiarare,dichiarare,verbo transitivo,declare
formaggio,il formaggio,sostantivo,cheese
elementare,elementare/i,aggettivo,elementary
corpo,il corpo,sostantivo,body
ripetere,ripetere,verbo transitivo,repeat
nascere,nascere,verbo intransitivo,to be born
leggero,leggero/a/i/e,aggettivo,light
palla,la palla,sostantivo,ball
trasmissione,la trasmissione,sostantivo,transmission
Provincia,la provincia,sostantivo,province
direttore/trice,il direttore,sostantivo,director
durante,durante,preposizione,during
gelato,il gelato,sostantivo - aggettivo,ice cream
chissà,chissà,avverbio,who knows
dottore/ssa,il dottore/la dottoressa,sostantivo,doctor
laggiù,laggiù,avverbio,down there
come,come,cong. - avv.,how
pop,il pop,sostantivo - aggettivo,pop music
tonnellata,la tonnellata,sostantivo,ton
occhiale,l'occhiale,sostantivo,spectacle
e,e,congiunzione,and
dito,il dito,sostantivo,finger
caffè,il caffè,sostantivo,coffee
nostro,nostro,agg. - pron.,our
paura,la paura,sostantivo,fear
smettere,smettere,verbo transitivo,to stop
scrivania,la scrivania,sostantivo,desk
schiera,la schiera,sostantivo,row
i,i,articolo,the
esercito,l'esercito,sostantivo,army
importante,importante/i,aggettivo,important
enorme,enorme/i,aggettivo,enormous
vincere,vincere,verbo transitivo - verbo intransitivo,to_win
salotto,il salotto,sostantivo,living room
forza,forza,s.f. - inter.,strength
orologio,l'orologio,sostantivo,watch
sereno,sereno/a/i/e,aggettivo,serene
errore,l'errore,sostantivo,error
ganzo,ganzo/a/i/e,aggettivo,cool
torta,la torta,sostantivo,cake
abituarsi,abituarsi,verbo riflessivo,to get used to
dividere,dividere,verbo transitivo,to divide
cadere,cadere,verbo intransitivo,to fall
barca,la barca,sostantivo,boat
innanzitutto,innanzitutto,avverbio,firstly
collezionare,collezionare,verbo transitivo,to collect
vista,la vista,sostantivo,view
nostalgia,la nostalgia,sostantivo,nostalgia
li,li,pronome,them
ovest,l'ovest,sostantivo,west
primavera,la primavera,sostantivo,spring
costare,costare,verbo transitivo,to cost
tipico,tipico/a/i/e,aggettivo,typical
crema,la crema,sostantivo,cream
fetta,la fetta,sostantivo,slice
aspetto,l'aspetto,sostantivo,appearance
riposare/si,riposare,verbo intransitivo - verbo intransitivo pronominale,to rest
laurea,la laurea,sostantivo,degree
distributore,il distributore,sostantivo,vending machine
gratis,gratis,avverbio,free
destra,la destra,sostantivo,right
immaginare,immaginare,verbo transitivo,to imagine
cena,la cena,sostantivo,dinner
appunto,appunto,s.m. - avv.,note
canguro,il canguro,sostantivo,kangaroo
volta,la volta,sostantivo,time
deludere,deludere,verbo transitivo,disappoint
ditta,la ditta,sostantivo,company
delusione,la delusione,sostantivo,disappointment
calmo,calmo/a/i/e,aggettivo,calm
velocemente,velocemente,avverbio,quickly
fotografia,la fotografia,sostantivo,photograph
pizza,la pizza,sostantivo,pizza
cerotto,il cerotto,sostantivo,band-aid
mancanza,la mancanza,sostantivo,lack
muovere/si,muovere/si,verbo transitivo - verbo riflessivo,to move
correggere,correggere,verbo transitivo,to correct
utilizzare,utilizzare,verbo transitivo,to use
storico,storico/a/i/e,aggettivo,historical
moda,la moda,sostantivo,fashion
stile,lo stile,sostantivo,style
processo,il processo,sostantivo,process
attentato,l'attentato,sostantivo,attack
voce,la voce,sostantivo,voice
frigorifero,il frigorifero,sostantivo,refrigerator
giro,il giro,sostantivo,turn
direzione,la direzione,sostantivo,direction
accomodarsi,accomodarsi,verbo intransitivo pronominale,to make oneself comfortable
frenare,frenare,verbo intransitivo,to brake
zaino,lo zaino,sostantivo,backpack
egregio,egregio/a/i/e,aggettivo,distinguished
riscontro,il riscontro,sostantivo,feedback
numero,il numero,sostantivo,number
nubile,nubile/i,aggettivo,unmarried
autore/trice,l'autore/l'autrice,sostantivo,author
ministro,il ministro,sostantivo,minister
felice,felice/i,aggettivo,happy
augurio,l'augurio,sostantivo,wish
affinché,affinché,congiunzione,so that
bambola,la bambola,sostantivo,doll
schifo,lo schifo,sostantivo,disgust
stasera,stasera,avverbio,tonight
socievole,socievole/i,aggettivo,sociable
fontana,la fontana,sostantivo,fountain
chiaro,chiaro/a/i/e,aggettivo,clear
dato,il dato,sostantivo,data
comodino,il comodino,sostantivo,nightstand
mensile,il mensile,sostantivo,monthly magazine
prigione,la prigione,sostantivo,prison
spogliarsi,spogliarsi,verbo riflessivo,to undress
ordinare,ordinare,verbo transitivo,to order
accento,l'accento,sostantivo,accent
cin cin,cin cin,interiezione,cheers
comunicare,comunicare,verbo transitivo,to communicate
primo,il primo,aggettivo - sostantivo,first
pallacanestro,la pallacanestro,sostantivo,basketball
rilassarsi,rilassarsi,verbo riflessivo,to relax
volare,volare,verbo intransitivo,to fly
vuoto,vuoto/a/i/e,aggettivo,empty
dolce,dolce,agg. - s.m,sweet
medicina,la medicina,sostantivo,medicine
cavallo,il cavallo,sostantivo,horse
cantiere,il cantiere,sostantivo,construction site
lento,lento/a/i/e,aggettivo,slow
noleggiare,noleggiare,verbo transitivo,to rent
cervello,il cervello,sostantivo,brain
reagire,reagire,verbo intransitivo,react
fiore,il fiore,sostantivo,flower
soffitto,il soffitto,sostantivo,ceiling
qui,qui,avverbio,here
preoccupazione,la preoccupazione,sostantivo,worry
