italian,english,io,io_english,tu,tu_english,lui/lei,lui/lei_english,noi,noi_english,voi,voi_english,loro,loro_english
ambientare,to set (in a scene),sto ambientando,I am setting,stai ambientando,you are setting,sta ambientando,he/she is setting,stiamo ambientando,we are setting,state ambientando,you all are setting,stanno ambientando,they are setting
deludere,to disappoint,sto deludendo,I am disappointing,stai deludendo,you are disappointing,sta deludendo,he/she is disappointing,stiamo deludendo,we are disappointing,state deludendo,you all are disappointing,stanno deludendo,they are disappointing
apprestare,to prepare,sto apprestando,I am preparing,stai apprestando,you are preparing,sta apprestando,he/she is preparing,stiamo apprestando,we are preparing,state apprestando,you all are preparing,stanno apprestando,they are preparing
riscuotere,to collect/cash,sto riscuotendo,I am collecting,stai riscuotendo,you are collecting,sta riscuotendo,he/she is collecting,stiamo riscuotendo,we are collecting,state riscuotendo,you all are collecting,stanno riscuotendo,they are collecting
bruciare,to burn,sto bruciando,I am burning,stai bruciando,you are burning,sta bruciando,he/she is burning,stiamo bruciando,we are burning,state bruciando,you all are burning,stanno bruciando,they are burning
comprovare,to prove,sto comprovando,I am proving,stai comprovando,you are proving,sta comprovando,he/she is proving,stiamo comprovando,we are proving,state comprovando,you all are proving,stanno comprovando,they are proving
guarire,to heal,sto guarendo,I am healing,stai guarendo,you are healing,sta guarendo,he/she is healing,stiamo guarendo,we are healing,state guarendo,you all are healing,stanno guarendo,they are healing
rimediare,to remedy,sto rimediando,I am fixing,stai rimediando,you are fixing,sta rimediando,he/she is fixing,stiamo rimediando,we are fixing,state rimediando,you all are fixing,stanno rimediando,they are fixing
collare,to collar,sto collando,I am colluding,stai collando,you are colluding,sta collando,he/she is colluding,stiamo collando,we are colluding,state collando,you all are colluding,stanno collando,they are colluding
rivendicare,to claim/vindicate,sto rivendicando,I am claiming,stai rivendicando,you are claiming,sta rivendicando,he/she is claiming,stiamo rivendicando,we are claiming,state rivendicando,you all are claiming,stanno rivendicando,they are claiming
riprovare,to retry/reprove,sto riprovando,I am retrying,stai riprovando,you are retrying,sta riprovando,he/she is retrying,stiamo riprovando,we are retrying,state riprovando,you all are retrying,stanno riprovando,they are retrying
attentare,to attempt (a crime),sto attentando,I am attacking,stai attentando,you are attacking,sta attentando,he/she is attacking,stiamo attentando,we are attacking,state attentando,you all are attacking,stanno attentando,they are attacking
attere,to beat/thresh,sto atterendo,I am touching down,stai atterendo,you are touching down,sta atterendo,he/she is touching down,stiamo atterendo,we are touching down,state atterendo,you all are touching down,stanno atterendo,they are touching down
moderare,to moderate,sto moderando,I am moderating,stai moderando,you are moderating,sta moderando,he/she is moderating,stiamo moderando,we are moderating,state moderando,you all are moderating,stanno moderando,they are moderating
suicidare,to kill (someone else) in a suicide fashion,sto suicidando,I am killing myself,stai suicidando,you are killing yourself,sta suicidando,he/she is killing him/herself,stiamo suicidando,we are killing ourselves,state suicidando,you all are killing yourselves,stanno suicidando,they are killing themselves
influire,to influence,sto influendo,I am influencing,stai influendo,you are influencing,sta influendo,he/she is influencing,stiamo influendo,we are influencing,state influendo,you all are influencing,stanno influendo,they are influencing
urlare,to shout/scream,sto urlando,I am shouting,stai urlando,you are shouting,sta urlando,he/she is shouting,stiamo urlando,we are shouting,state urlando,you all are shouting,stanno urlando,they are shouting
giovare,to be useful/to help,sto giovando,I am helping,stai giovando,you are helping,sta giovando,he/she is helping,stiamo giovando,we are helping,state giovando,you all are helping,stanno giovando,they are helping
invadere,to invade,sto invadendo,I am invading,stai invadendo,you are invading,sta invadendo,he/she is invading,stiamo invadendo,we are invading,state invadendo,you all are invading,stanno invadendo,they are invading
invasare,to possess (demons)/to pot,sto invasando,I am filling,stai invasando,you are filling,sta invasando,he/she is filling,stiamo invasando,we are filling,state invasando,you all are filling,stanno invasando,they are filling
racchiudere,to enclose,sto racchiudendo,I am enclosing,stai racchiudendo,you are enclosing,sta racchiudendo,he/she is enclosing,stiamo racchiudendo,we are enclosing,state racchiudendo,you all are enclosing,stanno racchiudendo,they are enclosing
costatare,to note/to verify,sto costatando,I am verifying,stai costatando,you are verifying,sta costatando,he/she is verifying,stiamo costatando,we are verifying,state costatando,you all are verifying,stanno costatando,they are verifying
scaturire,to spring forth/to arise,sto scaturendo,I am flowing out,stai scaturendo,you are flowing out,sta scaturendo,he/she is flowing out,stiamo scaturendo,we are flowing out,state scaturendo,you all are flowing out,stanno scaturendo,they are flowing out
rassicurare,to reassure,sto rassicurando,I am reassuring,stai rassicurando,you are reassuring,sta rassicurando,he/she is reassuring,stiamo rassicurando,we are reassuring,state rassicurando,you all are reassuring,stanno rassicurando,they are reassuring
spegnere,to extinguish/to turn off,sto spegnendo,I am turning off,stai spegnendo,you are turning off,sta spegnendo,he/she is turning off,stiamo spegnendo,we are turning off,state spegnendo,you all are turning off,stanno spegnendo,they are turning off
illuminare,to illuminate/to light up,sto illuminando,I am illuminating,stai illuminando,you are illuminating,sta illuminando,he/she is illuminating,stiamo illuminando,we are illuminating,state illuminando,you all are illuminating,stanno illuminando,they are illuminating
sconvolgere,to disrupt/to upset,sto sconvolgendo,I am upsetting,stai sconvolgendo,you are upsetting,sta sconvolgendo,he/she is upsetting,stiamo sconvolgendo,we are upsetting,state sconvolgendo,you all are upsetting,stanno sconvolgendo,they are upsetting
riaprire,to reopen,sto riaprendo,I am reopening,stai riaprendo,you are reopening,sta riaprendo,he/she is reopening,stiamo riaprendo,we are reopening,state riaprendo,you all are reopening,stanno riaprendo,they are reopening
comandare,to command/to order,sto comandando,I am commanding,stai comandando,you are commanding,sta comandando,he/she is commanding,stiamo comandando,we are commanding,state comandando,you all are commanding,stanno comandando,they are commanding
abbracciare,to hug/to embrace,sto abbracciando,I am hugging,stai abbracciando,you are hugging,sta abbracciando,he/she is hugging,stiamo abbracciando,we are hugging,state abbracciando,you all are hugging,stanno abbracciando,they are hugging
uscitare,to cause to go out,sto uscitando,I am exciting,stai uscitando,you are exciting,sta uscitando,he/she is exciting,stiamo uscitando,we are exciting,state uscitando,you all are exciting,stanno uscitando,they are exciting
rispecchiare,to reflect,sto rispecchiando,I am reflecting,stai rispecchiando,you are reflecting,sta rispecchiando,he/she is reflecting,stiamo rispecchiando,we are reflecting,state rispecchiando,you all are reflecting,stanno rispecchiando,they are reflecting
scongiurare,to avert/to beg,sto scongiurando,I am imploring,stai scongiurando,you are imploring,sta scongiurando,he/she is imploring,stiamo scongiurando,we are imploring,state scongiurando,you all are imploring,stanno scongiurando,they are imploring
offendere,to offend,sto offendendo,I am offending,stai offendendo,you are offending,sta offendendo,he/she is offending,stiamo offendendo,we are offending,state offendendo,you all are offending,stanno offendendo,they are offending
optare,to opt,sto optando,I am choosing,stai optando,you are choosing,sta optando,he/she is choosing,stiamo optando,we are choosing,state optando,you all are choosing,stanno optando,they are choosing
evolversi,to evolve,mi sto evolvendo,I am evolving,ti stai evolvendo,you are evolving,si sta evolvendo,he/she is evolving,ci stiamo evolvendo,we are evolving,vi state evolvendo,you all are evolving,si stanno evolvendo,they are evolving
implementare,to implement,sto implementando,I am implementing,stai implementando,you are implementing,sta implementando,he/she is implementing,stiamo implementando,we are implementing,state implementando,you all are implementing,stanno implementando,they are implementing
qualificare,to qualify,sto qualificando,I am qualifying,stai qualificando,you are qualifying,sta qualificando,he/she is qualifying,stiamo qualificando,we are qualifying,state qualificando,you all are qualifying,stanno qualificando,they are qualifying
esibire,to exhibit/to show,sto esibendo,I am exhibiting,stai esibendo,you are exhibiting,sta esibendo,he/she is exhibiting,stiamo esibendo,we are exhibiting,state esibendo,you all are exhibiting,stanno esibendo,they are exhibiting
ovviare,to remedy/to avoid,sto ovviando,I am remedying,stai ovviando,you are remedying,sta ovviando,he/she is remedying,stiamo ovviando,we are remedying,state ovviando,you all are remedying,stanno ovviando,they are remedying
ricoverare,to hospitalize/to shelter,sto ricoverando,I am hospitalizing,stai ricoverando,you are hospitalizing,sta ricoverando,he/she is hospitalizing,stiamo ricoverando,we are hospitalizing,state ricoverando,you all are hospitalizing,stanno ricoverando,they are hospitalizing
scatenare,to unleash,sto scatenando,I am unleashing,stai scatenando,you are unleashing,sta scatenando,he/she is unleashing,stiamo scatenando,we are unleashing,state scatenando,you all are unleashing,stanno scatenando,they are unleashing
inoltrare,to forward,sto inoltrando,I am forwarding,stai inoltrando,you are forwarding,sta inoltrando,he/she is forwarding,stiamo inoltrando,we are forwarding,state inoltrando,you all are forwarding,stanno inoltrando,they are forwarding
esportare,to export,sto esportando,I am exporting,stai esportando,you are exporting,sta esportando,he/she is exporting,stiamo esportando,we are exporting,state esportando,you all are exporting,stanno esportando,they are exporting
accumulare,to accumulate,sto accumulando,I am accumulating,stai accumulando,you are accumulating,sta accumulando,he/she is accumulating,stiamo accumulando,we are accumulating,state accumulando,you all are accumulating,stanno accumulando,they are accumulating
proiettare,to project,sto proiettando,I am projecting,stai proiettando,you are projecting,sta proiettando,he/she is projecting,stiamo proiettando,we are projecting,state proiettando,you all are projecting,stanno proiettando,they are projecting
svelare,to unveil/to reveal,sto svelando,I am revealing,stai svelando,you are revealing,sta svelando,he/she is revealing,stiamo svelando,we are revealing,state svelando,you all are revealing,stanno svelando,they are revealing
estrarre,to extract,sto estraendo,I am extracting,stai estraendo,you are extracting,sta estraendo,he/she is extracting,stiamo estraendo,we are extracting,state estraendo,you all are extracting,stanno estraendo,they are extracting
insorgere,to rise up/to protest,sto insorgendo,I am rising up,stai insorgendo,you are rising up,sta insorgendo,he/she is rising up,stiamo insorgendo,we are rising up,state insorgendo,you all are rising up,stanno insorgendo,they are rising up
pere,to perish,sto peendo,I am perishing,stai peendo,you are perishing,sta peendo,he/she is perishing,stiamo peendo,we are perishing,state peendo,you all are perishing,stanno peendo,they are perishing
ostacolare,to hinder,sto ostacolando,I am hindering,stai ostacolando,you are hindering,sta ostacolando,he/she is hindering,stiamo ostacolando,we are hindering,state ostacolando,you all are hindering,stanno ostacolando,they are hindering
frenare,to brake,sto frenando,I am braking,stai frenando,you are braking,sta frenando,he/she is braking,stiamo frenando,we are braking,state frenando,you all are braking,stanno frenando,they are braking
nocere,to harm,sto nocendo,I am harming,stai nocendo,you are harming,sta nocendo,he/she is harming,stiamo nocendo,we are harming,state nocendo,you all are harming,stanno nocendo,they are harming
progredire,to progress,sto progredendo,I am progressing,stai progredendo,you are progressing,sta progredendo,he/she is progressing,stiamo progredendo,we are progressing,state progredendo,you all are progressing,stanno progredendo,they are progressing
immettere,to insert,sto immettendo,I am inserting,stai immettendo,you are inserting,sta immettendo,he/she is inserting,stiamo immettendo,we are inserting,state immettendo,you all are inserting,stanno immettendo,they are inserting
permanere,to remain,sto permanendo,I am remaining,stai permanendo,you are remaining,sta permanendo,he/she is remaining,stiamo permanendo,we are remaining,state permanendo,you all are remaining,stanno permanendo,they are remaining
piantare,to plant,sto piantando,I am planting,stai piantando,you are planting,sta piantando,he/she is planting,stiamo piantando,we are planting,state piantando,you all are planting,stanno piantando,they are planting
cacciare,to hunt,sto cacciando,I am hunting,stai cacciando,you are hunting,sta cacciando,he/she is hunting,stiamo cacciando,we are hunting,state cacciando,you all are hunting,stanno cacciando,they are hunting
fotografare,to photograph,sto fotografando,I am photographing,stai fotografando,you are photographing,sta fotografando,he/she is photographing,stiamo fotografando,we are photographing,state fotografando,you all are photographing,stanno fotografando,they are photographing
abolire,to abolish,sto abolendo,I am abolishing,stai abolendo,you are abolishing,sta abolendo,he/she is abolishing,stiamo abolendo,we are abolishing,state abolendo,you all are abolishing,stanno abolendo,they are abolishing
regnare,to reign,sto regnando,I am reigning,stai regnando,you are reigning,sta regnando,he/she is reigning,stiamo regnando,we are reigning,state regnando,you all are reigning,stanno regnando,they are reigning
intrecciare,to weave,sto intrecciando,I am interlacing,stai intrecciando,you are interlacing,sta intrecciando,he/she is interlacing,stiamo intrecciando,we are interlacing,state intrecciando,you all are interlacing,stanno intrecciando,they are interlacing
sfiorare,to graze,sto sfiorando,I am brushing against,stai sfiorando,you are brushing against,sta sfiorando,he/she is brushing against,stiamo sfiorando,we are brushing against,state sfiorando,you all are brushing against,stanno sfiorando,they are brushing against
razionalizzare,to rationalize,sto razionalizzando,I am rationalizing,stai razionalizzando,you are rationalizing,sta razionalizzando,he/she is rationalizing,stiamo razionalizzando,we are rationalizing,state razionalizzando,you all are rationalizing,stanno razionalizzando,they are rationalizing
ristabilire,to restore,sto ristabilendo,I am restoring,stai ristabilendo,you are restoring,sta ristabilendo,he/she is restoring,stiamo ristabilendo,we are restoring,state ristabilendo,you all are restoring,stanno ristabilendo,they are restoring
gallare,to fertilize,sto gallando,I am treading (birds),stai gallando,you are treading (birds),sta gallando,he/she is treading (birds),stiamo gallando,we are treading (birds),state gallando,you all are treading (birds),stanno gallando,they are treading (birds)
editare,to edit,sto editando,I am editing,stai editando,you are editing,sta editando,he/she is editing,stiamo editando,we are editing,state editando,you all are editing,stanno editando,they are editing
sequestrare,to seize,sto sequestrando,I am seizing,stai sequestrando,you are seizing,sta sequestrando,he/she is seizing,stiamo sequestrando,we are seizing,state sequestrando,you all are seizing,stanno sequestrando,they are seizing
assorbire,to absorb,sto assorbendo,I am absorbing,stai assorbendo,you are absorbing,sta assorbendo,he/she is absorbing,stiamo assorbendo,we are absorbing,state assorbendo,you all are absorbing,stanno assorbendo,they are absorbing
ripercorrere,to retrace,sto ripercorrendo,I am retracing,stai ripercorrendo,you are retracing,sta ripercorrendo,he/she is retracing,stiamo ripercorrendo,we are retracing,state ripercorrendo,you all are retracing,stanno ripercorrendo,they are retracing
ubicare,to locate,sto ubicando,I am locating,stai ubicando,you are locating,sta ubicando,he/she is locating,stiamo ubicando,we are locating,state ubicando,you all are locating,stanno ubicando,they are locating
esaltare,to exalt,sto esaltando,I am extolling,stai esaltando,you are extolling,sta esaltando,he/she is extolling,stiamo esaltando,we are extolling,state esaltando,you all are extolling,stanno esaltando,they are extolling
dubitare,to doubt,sto dubitando,I am doubting,stai dubitando,you are doubting,sta dubitando,he/she is doubting,stiamo dubitando,we are doubting,state dubitando,you all are doubting,stanno dubitando,they are doubting
modulare,to modulate,sto modulando,I am modulating,stai modulando,you are modulating,sta modulando,he/she is modulating,stiamo modulando,we are modulating,state modulando,you all are modulating,stanno modulando,they are modulating
approfittare,to take advantage,sto approfittando,I am taking advantage,stai approfittando,you are taking advantage,sta approfittando,he/she is taking advantage,stiamo approfittando,we are taking advantage,state approfittando,you all are taking advantage,stanno approfittando,they are taking advantage
appellare,to appeal,sto appellando,I am appealing,stai appellando,you are appealing,sta appellando,he/she is appealing,stiamo appellando,we are appealing,state appellando,you all are appealing,stanno appellando,they are appealing
eccheggiare,to echo,sto eccheggiando,I am echoing,stai eccheggiando,you are echoing,sta eccheggiando,he/she is echoing,stiamo eccheggiando,we are echoing,state eccheggiando,you all are echoing,stanno eccheggiando,they are echoing
riformare,to reform,sto riformando,I am reforming,stai riformando,you are reforming,sta riformando,he/she is reforming,stiamo riformando,we are reforming,state riformando,you all are reforming,stanno riformando,they are reforming
accorrere,to rush,sto accorrendo,I am rushing,stai accorrendo,you are rushing,sta accorrendo,he/she is rushing,stiamo accorrendo,we are rushing,state accorrendo,you all are rushing,stanno accorrendo,they are rushing
imitare,to imitate,sto imitando,I am imitating,stai imitando,you are imitating,sta imitando,he/she is imitating,stiamo imitando,we are imitating,state imitando,you all are imitating,stanno imitando,they are imitating
stendere,to spread,sto stendendo,I am laying out,stai stendendo,you are laying out,sta stendendo,he/she is laying out,stiamo stendendo,we are laying out,state stendendo,you all are laying out,stanno stendendo,they are laying out
interrogare,to interrogate,sto interrogando,I am questioning,stai interrogando,you are questioning,sta interrogando,he/she is questioning,stiamo interrogando,we are questioning,state interrogando,you all are questioning,stanno interrogando,they are questioning
ozonare,to ozonize,sto ozonando,I am ozonating,stai ozonando,you are ozonating,sta ozonando,he/she is ozonating,stiamo ozonando,we are ozonating,state ozonando,you all are ozonating,stanno ozonando,they are ozonating
dipingere,to paint,sto dipingendo,I am painting,stai dipingendo,you are painting,sta dipingendo,he/she is painting,stiamo dipingendo,we are painting,state dipingendo,you all are painting,stanno dipingendo,they are painting
abilitare,to enable,sto abilitando,I am enabling,stai abilitando,you are enabling,sta abilitando,he/she is enabling,stiamo abilitando,we are enabling,state abilitando,you all are enabling,stanno abilitando,they are enabling
assassinare,to murder,sto assassinando,I am assassinating,stai assassinando,you are assassinating,sta assassinando,he/she is assassinating,stiamo assassinando,we are assassinating,state assassinando,you all are assassinating,stanno assassinando,they are assassinating
contemplare,to contemplate,sto contemplando,I am contemplating,stai contemplando,you are contemplating,sta contemplando,he/she is contemplating,stiamo contemplando,we are contemplating,state contemplando,you all are contemplating,stanno contemplando,they are contemplating
parare,to parry,sto parando,I am blocking,stai parando,you are blocking,sta parando,he/she is blocking,stiamo parando,we are blocking,state parando,you all are blocking,stanno parando,they are blocking
idrocarburare,to process hydrocarbons,sto idrocarburando,I am hydrocarbonating,stai idrocarburando,you are hydrocarbonating,sta idrocarburando,he/she is hydrocarbonating,stiamo idrocarburando,we are hydrocarbonating,state idrocarburando,you all are hydrocarbonating,stanno idrocarburando,they are hydrocarbonating
schedare,to file,sto schedando,I am filing,stai schedando,you are filing,sta schedando,he/she is filing,stiamo schedando,we are filing,state schedando,you all are filing,stanno schedando,they are filing
apporre,to affix,sto apponendo,I am affixing,stai apponendo,you are affixing,sta apponendo,he/she is affixing,stiamo apponendo,we are affixing,state apponendo,you all are affixing,stanno apponendo,they are affixing
appostare,to lie in wait,sto appostando,I am lying in wait,stai appostando,you are lying in wait,sta appostando,he/she is lying in wait,stiamo appostando,we are lying in wait,state appostando,you all are lying in wait,stanno appostando,they are lying in wait
affascinare,to fascinate,sto affascinando,I am fascinating,stai affascinando,you are fascinating,sta affascinando,he/she is fascinating,stiamo affascinando,we are fascinating,state affascinando,you all are fascinating,stanno affascinando,they are fascinating
regolamentare,to regulate,sto regolamentando,I am regulating,stai regolamentando,you are regulating,sta regolamentando,he/she is regulating,stiamo regolamentando,we are regulating,state regolamentando,you all are regulating,stanno regolamentando,they are regulating
rallentare,to slow down,sto rallentando,I am slowing down,stai rallentando,you are slowing down,sta rallentando,he/she is slowing down,stiamo rallentando,we are slowing down,state rallentando,you all are slowing down,stanno rallentando,they are slowing down
attrarre,to attract,sto attraendo,I am attracting,stai attraendo,you are attracting,sta attraendo,he/she is attracting,stiamo attraendo,we are attracting,state attraendo,you all are attracting,stanno attraendo,they are attracting
ingannare,to deceive,sto ingannando,I am deceiving,stai ingannando,you are deceiving,sta ingannando,he/she is deceiving,stiamo ingannando,we are deceiving,state ingannando,you all are deceiving,stanno ingannando,they are deceiving
supporre,to suppose,sto supponendo,I am supposing,stai supponendo,you are supposing,sta supponendo,he/she is supposing,stiamo supponendo,we are supposing,state supponendo,you all are supposing,stanno supponendo,they are supposing
risentire,to hear again / to resent,sto risentendo,I am resenting,stai risentendo,you are resenting,sta risentendo,he/she is resenting,stiamo risentendo,we are resenting,state risentendo,you all are resenting,stanno risentendo,they are resenting
scivolare,to slide,sto scivolando,I am slipping,stai scivolando,you are slipping,sta scivolando,he/she is slipping,stiamo scivolando,we are slipping,state scivolando,you all are slipping,stanno scivolando,they are slipping
contraddistinguere,to distinguish,sto contraddistinguendo,I am distinguishing,stai contraddistinguendo,you are distinguishing,sta contraddistinguendo,he/she is distinguishing,stiamo contraddistinguendo,we are distinguishing,state contraddistinguendo,you all are distinguishing,stanno contraddistinguendo,they are distinguishing
rintracciare,to trace / to track down,sto rintracciando,I am tracking,stai rintracciando,you are tracking,sta rintracciando,he/she is tracking,stiamo rintracciando,we are tracking,state rintracciando,you all are tracking,stanno rintracciando,they are tracking
ratificare,to ratify,sto ratificando,I am ratifying,stai ratificando,you are ratifying,sta ratificando,he/she is ratifying,stiamo ratificando,we are ratifying,state ratificando,you all are ratifying,stanno ratificando,they are ratifying
contentare,to satisfy,sto contentando,I am satisfying,stai contentando,you are satisfying,sta contentando,he/she is satisfying,stiamo contentando,we are satisfying,state contentando,you all are satisfying,stanno contentando,they are satisfying
sfidare,to challenge,sto sfidando,I am challenging,stai sfidando,you are challenging,sta sfidando,he/she is challenging,stiamo sfidando,we are challenging,state sfidando,you all are challenging,stanno sfidando,they are challenging
innescare,to trigger / to prime,sto innescando,I am triggering,stai innescando,you are triggering,sta innescando,he/she is triggering,stiamo innescando,we are triggering,state innescando,you all are triggering,stanno innescando,they are triggering
impoverire,to impoverish,sto impoverendo,I am impoverishing,stai impoverendo,you are impoverishing,sta impoverendo,he/she is impoverishing,stiamo impoverendo,we are impoverishing,state impoverendo,you all are impoverishing,stanno impoverendo,they are impoverishing
spezzare,to break,sto spezzando,I am breaking,stai spezzando,you are breaking,sta spezzando,he/she is breaking,stiamo spezzando,we are breaking,state spezzando,you all are breaking,stanno spezzando,they are breaking
alterare,to alter,sto alterando,I am altering,stai alterando,you are altering,sta alterando,he/she is altering,stiamo alterando,we are altering,state alterando,you all are altering,stanno alterando,they are altering
prelevare,to withdraw,sto prelevando,I am withdrawing,stai prelevando,you are withdrawing,sta prelevando,he/she is withdrawing,stiamo prelevando,we are withdrawing,state prelevando,you all are withdrawing,stanno prelevando,they are withdrawing
testare,to test,sto testando,I am testing,stai testando,you are testing,sta testando,he/she is testing,stiamo testando,we are testing,state testando,you all are testing,stanno testando,they are testing
rileggere,to reread,sto rileggendo,I am rereading,stai rileggendo,you are rereading,sta rileggendo,he/she is rereading,stiamo rileggendo,we are rereading,state rileggendo,you all are rereading,stanno rileggendo,they are rereading
amiantare,to coat with asbestos,sto amiantando,I am coating with asbestos,stai amiantando,you are coating with asbestos,sta amiantando,he/she is coating with asbestos,stiamo amiantando,we are coating with asbestos,state amiantando,you all are coating with asbestos,stanno amiantando,they are coating with asbestos
accontentare,to satisfy,sto accontentando,I am satisfying,stai accontentando,you are satisfying,sta accontentando,he/she is satisfying,stiamo accontentando,we are satisfying,state accontentando,you all are satisfying,stanno accontentando,they are satisfying
sementare,to sow,sto sementando,I am sowing,stai sementando,you are sowing,sta sementando,he/she is sowing,stiamo sementando,we are sowing,state sementando,you all are sowing,stanno sementando,they are sowing
odiare,to hate,sto odiando,I am hating,stai odiando,you are hating,sta odiando,he/she is hating,stiamo odiando,we are hating,state odiando,you all are hating,stanno odiando,they are hating
arginare,to dam / to contain,sto arginando,I am curbing,stai arginando,you are curbing,sta arginando,he/she is curbing,stiamo arginando,we are curbing,state arginando,you all are curbing,stanno arginando,they are curbing
inseguire,to chase,sto inseguendo,I am chasing,stai inseguendo,you are chasing,sta inseguendo,he/she is chasing,stiamo inseguendo,we are chasing,state inseguendo,you all are chasing,stanno inseguendo,they are chasing
susseguire,to follow,sto susseguendo,I am following,stai susseguendo,you are following,sta susseguendo,he/she is following,stiamo susseguendo,we are following,state susseguendo,you all are following,stanno susseguendo,they are following
trascinare,to drag,sto trascinando,I am dragging,stai trascinando,you are dragging,sta trascinando,he/she is dragging,stiamo trascinando,we are dragging,state trascinando,you all are dragging,stanno trascinando,they are dragging
affondare,to sink,sto affondando,I am sinking,stai affondando,you are sinking,sta affondando,he/she is sinking,stiamo affondando,we are sinking,state affondando,you all are sinking,stanno affondando,they are sinking
sanare,to cure / to heal,sto sanando,I am healing,stai sanando,you are healing,sta sanando,he/she is healing,stiamo sanando,we are healing,state sanando,you all are healing,stanno sanando,they are healing
onorare,to honor,sto onorando,I am honoring,stai onorando,you are honoring,sta onorando,he/she is honoring,stiamo onorando,we are honoring,state onorando,you all are honoring,stanno onorando,they are honoring
addire,to add/to agree,sto adducendo,I am adducing,stai adducendo,you are adducing,sta adducendo,he/she is adducing,stiamo adducendo,we are adducing,state adducendo,you all are adducing,stanno adducendo,they are adducing
calare,to lower / to drop,sto calando,I am lowering,stai calando,you are lowering,sta calando,he/she is lowering,stiamo calando,we are lowering,state calando,you all are lowering,stanno calando,they are lowering
pulire,to clean,sto pulendo,I am cleaning,stai pulendo,you are cleaning,sta pulendo,he/she is cleaning,stiamo pulendo,we are cleaning,state pulendo,you all are cleaning,stanno pulendo,they are cleaning
avvolgere,to wrap,sto avvolgendo,I am wrapping,stai avvolgendo,you are wrapping,sta avvolgendo,he/she is wrapping,stiamo avvolgendo,we are wrapping,state avvolgendo,you all are wrapping,stanno avvolgendo,they are wrapping
avvoltare,to wrap / to fold,sto avvoltando,I am wrapping,stai avvoltando,you are wrapping,sta avvoltando,he/she is wrapping,stiamo avvoltando,we are wrapping,state avvoltando,you all are wrapping,stanno avvoltando,they are wrapping
pianificare,to plan,sto pianificando,I am planning,stai pianificando,you are planning,sta pianificando,he/she is planning,stiamo pianificando,we are planning,state pianificando,you all are planning,stanno pianificando,they are planning
prefiggere,to prefix / to set as a goal,sto prefiggendo,I am prefixing,stai prefiggendo,you are prefixing,sta prefiggendo,he/she is prefixing,stiamo prefiggendo,we are prefixing,state prefiggendo,you all are prefixing,stanno prefiggendo,they are prefixing
smentire,to deny,sto smentendo,I am denying,stai smentendo,you are denying,sta smentendo,he/she is denying,stiamo smentendo,we are denying,state smentendo,you all are denying,stanno smentendo,they are denying
scorgere,to glimpse,sto scorgendo,I am spotting,stai scorgendo,you are spotting,sta scorgendo,he/she is spotting,stiamo scorgendo,we are spotting,state scorgendo,you all are spotting,stanno scorgendo,they are spotting
procurare,to procure / to obtain,sto procurando,I am providing,stai procurando,you are providing,sta procurando,he/she is providing,stiamo procurando,we are providing,state procurando,you all are providing,stanno procurando,they are providing
rapire,to kidnap,sto rapendo,I am kidnapping,stai rapendo,you are kidnapping,sta rapendo,he/she is kidnapping,stiamo rapendo,we are kidnapping,state rapendo,you all are kidnapping,stanno rapendo,they are kidnapping
invocare,to invoke,sto invocando,I am invoking,stai invocando,you are invoking,sta invocando,he/she is invoking,stiamo invocando,we are invoking,state invocando,you all are invoking,stanno invocando,they are invoking
avvincere,to bind / to grip,sto avvincendo,I am binding,stai avvincendo,you are binding,sta avvincendo,he/she is binding,stiamo avvincendo,we are binding,state avvincendo,you all are binding,stanno avvincendo,they are binding
distare,to be located at a distance,sto distando,I am being distant,stai distando,you are being distant,sta distando,he/she is being distant,stiamo distando,we are being distant,state distando,you all are being distant,stanno distando,they are being distant
fallire,to fail,sto fallendo,I am failing,stai fallendo,you are failing,sta fallendo,he/she is failing,stiamo fallendo,we are failing,state fallendo,you all are failing,stanno fallendo,they are failing
poggiare,to rest/lay,sto poggiando,I am resting/placing,stai poggiando,you are resting/placing,sta poggiando,he/she is resting/placing,stiamo poggiando,we are resting/placing,state poggiando,you all are resting/placing,stanno poggiando,they are resting/placing
delinquere,to commit a crime,sto delinquendo,I am committing offenses,stai delinquendo,you are committing offenses,sta delinquendo,he/she is committing offenses,stiamo delinquendo,we are committing offenses,state delinquendo,you all are committing offenses,stanno delinquendo,they are committing offenses
accorgersi,to notice/realize,mi sto accorgendo,I am realizing,ti stai accorgendo,you are realizing,si sta accorgendo,he/she is realizing,ci stiamo accorgendo,we are realizing,vi state accorgendo,you all are realizing,si stanno accorgendo,they are realizing
equiparare,to equate,sto equiparando,I am equating,stai equiparando,you are equating,sta equiparando,he/she is equating,stiamo equiparando,we are equating,state equiparando,you all are equating,stanno equiparando,they are equating
esclamare,to exclaim,sto esclamando,I am exclaiming,stai esclamando,you are exclaiming,sta esclamando,he/she is exclaiming,stiamo esclamando,we are exclaiming,state esclamando,you all are exclaiming,stanno esclamando,they are exclaiming
cucinare,to cook,sto cucinando,I am cooking,stai cucinando,you are cooking,sta cucinando,he/she is cooking,stiamo cucinando,we are cooking,state cucinando,you all are cooking,stanno cucinando,they are cooking
ricreare,to recreate,sto ricreando,I am recreating,stai ricreando,you are recreating,sta ricreando,he/she is recreating,stiamo ricreando,we are recreating,state ricreando,you all are recreating,stanno ricreando,they are recreating
